Date,Open,High,Low,Close,Adj Close,Volume
26-11-2010,393.450012,394.75,375.100006,378.725006,344.641083,3213206
29-11-2010,380,387.399994,371.225006,385.225006,350.556122,2520902
30-11-2010,387.149994,391.75,378.5,382.649994,348.21286,3357116
01-12-2010,386,403.950012,383.5,401.25,365.138977,3998890
02-12-2010,405,407.399994,390.799988,394.774994,359.246643,4022968
03-12-2010,397,402,394.5,399.950012,363.955963,4149926
06-12-2010,402.899994,404.75,396,397.399994,361.635437,1695766
07-12-2010,397.049988,402.649994,396.5,400.475006,364.433655,2069200
08-12-2010,395,398.5,392,394.649994,359.132935,2744072
09-12-2010,395,396.5,375.5,380.174988,345.960571,3721616
10-12-2010,380,392.475006,375,390.375,355.242676,4954314
13-12-2010,395,395,379.649994,384.200012,349.623383,5447910
14-12-2010,384.5,384.5,376.524994,378.924988,344.82312,4415392
15-12-2010,378.575012,384.649994,373.549988,376.450012,342.570892,5004014
16-12-2010,376,376,360.5,366.475006,333.493561,11975430
20-12-2010,367.450012,377.399994,362.5,372.899994,339.340332,3900342
21-12-2010,373.049988,378.899994,373.049988,377.049988,343.116852,1731572
22-12-2010,377,382.450012,376.100006,378.100006,344.072327,2135510
23-12-2010,381.25,381.25,372.049988,375.674988,341.86557,1995952
24-12-2010,375,382.5,371.274994,380.899994,346.620361,1476358
27-12-2010,380.100006,383.450012,378,380.075012,345.869659,800846
28-12-2010,380,384.450012,375.625,382.174988,347.78064,1423448
29-12-2010,380.274994,387.450012,377.100006,386.575012,351.784637,2068256
30-12-2010,388.950012,391.350006,386.375,388.049988,353.126892,4179444
31-12-2010,387.174988,392.450012,387.174988,389.100006,354.082428,983276
03-01-2011,397.375,400.850006,392.100006,393.774994,358.33667,3674214
04-01-2011,393.549988,396,387.600006,390.625,355.470154,3201716
05-01-2011,390.625,394.5,382.600006,385.524994,350.829132,2542148
06-01-2011,388.5,389,379,385.625,350.920135,3362466
07-01-2011,382.100006,382.950012,366.024994,370.149994,336.837769,5000746
10-01-2011,370.5,375,361.024994,364.274994,331.491577,2875516
11-01-2011,364.75,371.475006,363,367.475006,334.403564,2192548
12-01-2011,368.649994,376.950012,362.5,375.625,341.820099,2933516
13-01-2011,373.649994,379.649994,366.875,368.850006,335.654785,2129098
14-01-2011,366.549988,376.700012,364.850006,369.774994,336.496552,3220780
17-01-2011,365.274994,373.100006,365.274994,368.825012,335.63208,2076858
18-01-2011,369.975006,375.975006,368.700012,373.200012,339.613342,2953880
19-01-2011,373,382.899994,372.75,375.424988,341.638092,4056480
20-01-2011,375.700012,382.375,375,380.149994,345.937866,4019932
21-01-2011,376.225006,387.799988,376.225006,385.100006,350.442383,4604140
24-01-2011,385.549988,398.399994,385.549988,395.799988,360.179443,4429296
25-01-2011,395.524994,399.350006,383.25,385.649994,350.942932,3060040
27-01-2011,388.950012,388.950012,362.75,366.774994,333.766602,7676224
28-01-2011,367.5,367.524994,338.5,348.950012,317.545746,10172806
31-01-2011,339.5,358.899994,338.5,356.674988,324.57547,4297722
01-02-2011,358,359,348.575012,352.899994,321.140259,3566886
02-02-2011,358.450012,359.950012,346.25,350.274994,318.751495,3056802
03-02-2011,347.049988,355.950012,347.049988,352.825012,321.072052,2994606
04-02-2011,349.5,352,330.5,334.75,304.623688,5693360
07-02-2011,339.5,340.899994,331.649994,334.600006,304.487213,3711164
08-02-2011,339.25,339.25,312.075012,313.850006,285.604584,6482610
09-02-2011,314.75,333.350006,309.450012,327.600006,298.117218,12804616
10-02-2011,327.5,330.950012,321.200012,326.299988,296.934143,3721688
11-02-2011,324.274994,334.75,318.174988,332.600006,302.667206,4956350
14-02-2011,332.549988,344.799988,332.549988,340.049988,309.446716,4315510
15-02-2011,339.049988,339.899994,327.350006,334.024994,303.963989,3997940
16-02-2011,334,334,323.274994,327.899994,298.390198,3476762
17-02-2011,330,336.75,324.274994,334.774994,304.646454,4597826
18-02-2011,334.549988,338.899994,323.075012,324.799988,295.569153,2956902
21-02-2011,325,327.024994,317.5,325.5,296.206146,2145022
22-02-2011,322.450012,322.5,315.524994,319.875,291.087433,2440704
23-02-2011,320.5,324.399994,316.75,320.299988,291.474182,2637332
24-02-2011,317.125,320,303.024994,308,280.281097,6912314
25-02-2011,313.174988,313.5,293.600006,297.600006,270.817017,5959942
28-02-2011,296.75,321.25,292.5,307.875,280.167389,11510142
01-03-2011,312,335.450012,309.899994,332.149994,302.25769,12328552
03-03-2011,328.5,338.450012,326.725006,335.924988,305.692932,7782578
04-03-2011,341.774994,346,336.100006,338.075012,307.649506,6034444
07-03-2011,335,335,324.075012,330.875,301.097412,2602778
08-03-2011,333.924988,335,330.200012,332.350006,302.439697,1915264
09-03-2011,332.674988,336.875,332,334.549988,304.44165,3122696
10-03-2011,332.450012,337,331.125,334.924988,304.782928,2917362
11-03-2011,332.25,332.899994,325.75,328.149994,298.617615,2156372
14-03-2011,327.625,333.75,326.375,330.725006,300.960938,2198460
15-03-2011,323.100006,328.5,317.600006,322.200012,293.203156,3620494
16-03-2011,325,331.299988,323.549988,330,300.301178,2225270
17-03-2011,326.049988,332.375,326.049988,328.100006,298.572144,2150908
18-03-2011,329,331.475006,312.299988,315.549988,287.151611,3856988
21-03-2011,319.700012,322.450012,313.850006,320.549988,291.70163,2360246
22-03-2011,322,328.475006,320,327.049988,297.616669,1720280
23-03-2011,327.75,327.75,320.475006,323.049988,293.976654,3843974
24-03-2011,325,334.225006,324.25,332.75,302.80368,2991290
25-03-2011,342.274994,342.274994,331.475006,336.725006,306.420959,3181136
28-03-2011,339.450012,342.225006,335.049988,338.975006,308.468506,2828276
29-03-2011,339.674988,345,337.125,343.174988,312.290497,1930810
30-03-2011,344.600006,356,344.600006,354.975006,323.028503,4072464
31-03-2011,354.5,358.299988,342.524994,350.174988,318.660492,6478300
01-04-2011,350.25,358,348.575012,355.524994,323.528992,2832206
04-04-2011,356.5,374,355.024994,372,338.521362,4891860
05-04-2011,374.450012,374.450012,363.549988,366.725006,333.721069,2042660
06-04-2011,365.049988,370.5,359.325012,363.325012,330.627075,1845794
07-04-2011,363.75,369.450012,360.5,366.649994,333.652802,1816444
08-04-2011,366.5,368.25,360.5,364.649994,331.832764,1901040
11-04-2011,362.625,362.625,353.825012,355,323.0513,2295382
13-04-2011,354,366.350006,351.475006,364.5,331.69632,2394120
15-04-2011,361.649994,367.450012,359.100006,362.225006,329.626038,2141846
18-04-2011,362.5,369.700012,359.625,361.075012,328.579559,2596894
19-04-2011,357.049988,367.850006,357.049988,363,330.331238,3549108
20-04-2011,367.450012,385,366.5,381.625,347.28009,6623506
21-04-2011,381.625,387.399994,376.799988,382.325012,347.917145,4247300
25-04-2011,383.350006,389.475006,380,383.924988,349.373108,2350256
26-04-2011,382.5,384,374.024994,378.325012,344.277161,2453096
27-04-2011,379.924988,387.5,379,385.200012,350.533386,2958010
28-04-2011,383.549988,387.325012,380.299988,385.125,350.465118,2282926
29-04-2011,383.049988,385.5,372.125,378.200012,344.163361,2145334
02-05-2011,381,382.899994,368.700012,370.825012,337.452118,2499470
03-05-2011,368.125,369.674988,350.299988,354.049988,322.186707,5306574
04-05-2011,355,356.450012,342.149994,351.975006,320.298553,3456298
05-05-2011,353,357.149994,342.5,346.25,315.088684,2150516
06-05-2011,346.100006,360.5,346.100006,357.200012,325.053345,3179698
09-05-2011,360,362,352.25,355.125,323.165039,2187694
10-05-2011,355.024994,358.325012,347.600006,349.799988,318.319275,2241276
11-05-2011,348.549988,352.274994,346.149994,349.049988,317.636749,2494810
12-05-2011,347.5,352.674988,342.5,344.625,313.609985,2286104
13-05-2011,343.5,349.524994,337.899994,345.424988,314.337952,3846000
16-05-2011,344.5,344.5,334.450012,336.325012,306.056946,2942882
17-05-2011,335.75,341.875,332.524994,335.25,305.078674,2858850
18-05-2011,337.899994,337.899994,327.950012,335.200012,305.033234,2545688
19-05-2011,338.950012,341.375,336,338.075012,307.649506,1707394
20-05-2011,341,346.850006,336.75,345.424988,314.337952,1690740
23-05-2011,340.25,344.899994,339.575012,343.424988,312.517914,1464506
24-05-2011,341.100006,345,337.25,343.575012,312.65448,1631474
25-05-2011,346,346,339.200012,340.625,309.96994,1153150
26-05-2011,341.274994,350.5,330.700012,342.424988,311.608002,6743098
27-05-2011,340.625,353.950012,340.625,352.450012,320.730804,3584940
30-05-2011,353.5,356.225006,329.625,331.524994,301.688904,9630202
31-05-2011,333.5,340,324.475006,336.049988,305.806641,12347424
01-06-2011,336.5,341.725006,336.049988,337.924988,307.512939,3062502
02-06-2011,334.5,334.825012,328.5,330.75,300.983704,3282586
03-06-2011,331.5,336.725006,331.5,334.524994,304.418945,2481004
06-06-2011,331.5,332.5,326.625,328.799988,299.209137,2586026
07-06-2011,327.5,333.350006,327.049988,332.125,302.234955,2609038
08-06-2011,327.950012,333.475006,325.975006,332.149994,302.25769,2801962
09-06-2011,330.100006,334.674988,330.100006,332.725006,302.781006,2413294
10-06-2011,332.649994,334.125,328.899994,331.100006,301.302185,1625844
13-06-2011,331.700012,335.25,328.975006,332.100006,302.212219,2516510
14-06-2011,332.549988,337.950012,332.549988,335.825012,305.60199,2332576
15-06-2011,334.100006,339.924988,331.549988,332.424988,302.507904,1769380
16-06-2011,325.299988,332.850006,325.299988,328.549988,298.981659,2926134
17-06-2011,326.649994,330,320.924988,322.049988,293.06665,3508586
20-06-2011,323.5,323.5,308.350006,316.625,288.129852,4543106
21-06-2011,319.299988,321.25,316,317.225006,288.675903,1609290
22-06-2011,319.600006,325.274994,317.125,324.350006,295.159668,2835006
23-06-2011,322.375,328,321.299988,326.725006,297.320831,2707678
24-06-2011,328.5,338.125,328.024994,336.899994,306.580139,2583302
27-06-2011,334.700012,350.799988,333,346.649994,315.452728,7790954
28-06-2011,346.25,350.450012,343.549988,347.125,315.884979,2618356
29-06-2011,348,352.399994,344.5,345.725006,314.610962,2267666
30-06-2011,346.549988,352.5,345.600006,350.950012,319.365784,3799826
01-07-2011,355.899994,355.899994,344.174988,345.899994,314.770264,2148088
04-07-2011,351,353.475006,349.274994,351.600006,319.957245,3128130
05-07-2011,352.924988,361.399994,351.200012,358.600006,326.327301,3936710
06-07-2011,358.75,360,354.5,357.600006,325.417267,2583022
07-07-2011,358.5,364,357.100006,363.075012,330.399567,2820428
08-07-2011,362.200012,369.225006,355.549988,358.799988,326.509277,3106930
11-07-2011,358.5,367.399994,356.149994,363.375,330.672577,2753104
12-07-2011,358.149994,362.399994,350.049988,351.674988,320.025482,2397508
13-07-2011,352.274994,361.700012,352.274994,359.149994,326.827728,2142282
14-07-2011,355.450012,361.450012,351.5,357.625,325.893768,2148456
15-07-2011,356.575012,361.899994,353.575012,360.575012,328.58194,2097732
18-07-2011,358.875,360.049988,352.25,353.399994,322.043579,1580096
19-07-2011,354.975006,358.5,351.25,358.174988,326.394928,1537806
20-07-2011,358.799988,359.899994,352,352.825012,321.519653,1072138
21-07-2011,351,355.274994,348.549988,351.325012,320.15274,1179430
22-07-2011,354.450012,363,352.75,362.174988,330.039948,1437780
25-07-2011,360.5,376.5,360.5,374.149994,340.952515,4088972
26-07-2011,373.850006,376.725006,356.725006,358.875,327.032837,4101922
27-07-2011,359,360.25,354.325012,359.149994,327.283386,2394090
28-07-2011,354.5,363.225006,351,358.049988,326.281006,3075146
29-07-2011,357.5,362.225006,354.200012,360.375,328.39978,1922582
01-08-2011,362.25,367.799988,362.25,365.475006,333.047241,3287918
02-08-2011,363.274994,367.375,360.075012,361.700012,329.607178,2828730
03-08-2011,357.649994,360,350.725006,354.450012,323.000458,3104520
04-08-2011,353.100006,354.850006,338.299988,339.725006,309.58197,5177722
05-08-2011,330,334.5,319.125,326.674988,297.68985,6048310
08-08-2011,320.450012,339.950012,316.299988,334.125,304.478882,5129658
09-08-2011,318.100006,350,318.100006,346.549988,315.801392,9495834
10-08-2011,355,366.75,352.075012,365.200012,332.796631,7799668
11-08-2011,359.5,369.700012,357.174988,364.299988,331.976501,3592542
12-08-2011,366.850006,371.450012,365,369.975006,337.147949,5078270
16-08-2011,371.549988,372.799988,364.299988,366,333.525635,3883590
17-08-2011,363.375,365,356.875,359.575012,327.670715,3229408
18-08-2011,359.950012,367.399994,352.600006,358.600006,326.782227,3242690
19-08-2011,351.825012,363.774994,351.825012,359.25,327.374542,3147054
22-08-2011,359.5,361.75,349.325012,356.899994,325.233063,8068954
23-08-2011,357.5,359.424988,346.274994,354.625,323.159912,6500122
24-08-2011,351.100006,356.25,347.299988,348.725006,317.783386,6351584
25-08-2011,352.350006,353.700012,345.024994,348.700012,317.760651,6294038
26-08-2011,347.600006,359.899994,347.575012,352.174988,320.927277,4514026
29-08-2011,353.75,371,353.75,366.649994,334.117981,4836220
30-08-2011,370,372.299988,367.049988,369.075012,336.327789,2773386
02-09-2011,374,384.950012,370.399994,382.549988,348.607178,6187726
05-09-2011,381.350006,387.350006,377.5,384.524994,350.406952,3614312
06-09-2011,381,400,380.674988,398.649994,363.278625,9012384
07-09-2011,400.274994,405.325012,389.825012,392.700012,357.856598,4960100
08-09-2011,396.450012,398.475006,390.450012,395.375,360.29425,3830148
09-09-2011,395.950012,400.950012,394,395.725006,360.61322,3642282
12-09-2011,389.725006,394.5,386.875,391.700012,356.945313,4443066
13-09-2011,392.875,397.700012,382.75,390.899994,356.216278,2869218
14-09-2011,392.700012,402.200012,391.674988,396.725006,361.524445,5912254
15-09-2011,400,405.5,396.524994,402.700012,366.96933,4934022
16-09-2011,405.25,407.700012,396.5,398.274994,362.93692,5968350
19-09-2011,397.5,401.674988,394.200012,399.950012,364.463379,2746406
20-09-2011,401.350006,409.75,398.625,407.200012,371.070099,4012450
21-09-2011,408.450012,408.450012,402.549988,407.25,371.115601,3835756
22-09-2011,401.725006,404.125,389.299988,391.774994,357.013641,2594714
23-09-2011,388.75,394,385.450012,387.774994,353.368561,3173724
26-09-2011,390,390.225006,379.600006,385.549988,351.340973,2782680
27-09-2011,390.049988,400.774994,389.325012,398.899994,363.5065,2956338
28-09-2011,401.899994,402,388.649994,395.475006,360.385406,2325638
29-09-2011,393.625,411.950012,389.975006,406.950012,370.842255,7254578
30-09-2011,405.5,410,401.125,402.375,366.673187,2838314
03-10-2011,400,409.174988,398.075012,405.200012,369.247467,3996994
04-10-2011,402.125,406.5,386.899994,388.399994,353.938171,4014422
05-10-2011,389.299988,397.450012,388.325012,392.125,357.332642,3639250
07-10-2011,398.600006,402.399994,395.5,398.149994,362.823059,2772016
10-10-2011,396,405.5,396,403.424988,367.630035,2818386
11-10-2011,407.5,407.5,397.024994,399.375,363.939331,2135540
12-10-2011,399.549988,405.575012,391.600006,403.825012,367.994476,4914106
13-10-2011,407.5,407.5,396.649994,399.450012,364.007721,3727320
14-10-2011,396.799988,404.524994,396.799988,402.825012,367.083221,1481590
17-10-2011,405.75,409.725006,404.100006,406.375,370.318268,1791178
18-10-2011,401.049988,404.825012,398.475006,403.75,367.926147,1492326
19-10-2011,405.25,408.75,403.924988,405.225006,369.270294,1428572
20-10-2011,403,407.5,393.25,400.799988,365.237885,2275984
21-10-2011,401.850006,405.25,397.5,401.024994,365.442932,1188030
24-10-2011,406.700012,407.5,404,404.924988,368.996948,1664082
25-10-2011,407.25,429.274994,404.5,426.924988,389.044922,5349704
28-10-2011,434.125,438.649994,429.274994,435.25,396.631287,3443196
31-10-2011,437.5,437.5,425.575012,432.674988,394.284698,1811934
01-11-2011,429.600006,431.5,415.899994,417.024994,380.023315,4103788
